2019-12-30T08:34:33.893Z - info:   [43744] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-13T01:03:18.557Z - error:  [0700] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-03-13T01:03:20.115Z - info:   [0700] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-13T01:03:20.115Z - info:   [0700] AzureReposVSCode/1.161.0 (VSCode 1.43.0; Windows_NT 10.0.18362; Node 12.8.1)
2020-03-13T01:03:20.126Z - warn:   [0700] TFVC Couldn't find where the TF command lives on disk.
2020-03-13T01:03:20.126Z - error:  [0700] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-03-13T01:03:20.486Z - info:   [0700] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-13T01:03:20.487Z - info:   [0700] AzureReposVSCode/1.161.0 (VSCode 1.43.0; Windows_NT 10.0.18362; Node 12.8.1)
2020-03-13T01:03:20.510Z - warn:   [0700] TFVC Couldn't find where the TF command lives on disk.
2020-03-13T01:03:20.510Z - error:  [0700] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-03-14T05:07:16.565Z - info:   [21740] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-14T05:07:16.566Z - info:   [21740] AzureReposVSCode/1.161.0 (VSCode 1.43.0; Windows_NT 10.0.18362; Node 12.8.1)
2020-03-14T05:07:16.613Z - warn:   [21740] TFVC Couldn't find where the TF command lives on disk.
2020-03-14T05:07:16.613Z - error:  [21740] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-03-14T21:59:04.292Z - info:   [21740] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-14T21:59:04.293Z - info:   [21740] AzureReposVSCode/1.161.0 (VSCode 1.43.0; Windows_NT 10.0.18362; Node 12.8.1)
2020-03-14T21:59:04.367Z - warn:   [21740] TFVC Couldn't find where the TF command lives on disk.
2020-03-14T21:59:04.368Z - error:  [21740] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-03-14T21:59:04.612Z - info:   [21740] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-14T21:59:04.613Z - info:   [21740] AzureReposVSCode/1.161.0 (VSCode 1.43.0; Windows_NT 10.0.18362; Node 12.8.1)
2020-03-14T21:59:04.625Z - warn:   [21740] TFVC Couldn't find where the TF command lives on disk.
2020-03-14T21:59:04.625Z - error:  [21740] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-03-14T21:59:08.739Z - info:   [21740] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-14T21:59:08.739Z - info:   [21740] AzureReposVSCode/1.161.0 (VSCode 1.43.0; Windows_NT 10.0.18362; Node 12.8.1)
2020-03-14T21:59:08.756Z - warn:   [21740] TFVC Couldn't find where the TF command lives on disk.
2020-03-14T21:59:08.756Z - error:  [21740] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-03-14T22:10:49.701Z - info:   [21740] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-14T22:10:49.702Z - info:   [21740] AzureReposVSCode/1.161.0 (VSCode 1.43.0; Windows_NT 10.0.18362; Node 12.8.1)
2020-03-14T22:10:49.748Z - warn:   [21740] TFVC Couldn't find where the TF command lives on disk.
2020-03-14T22:10:49.749Z - error:  [21740] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-03-17T09:11:47.866Z - info:   [33620] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-17T09:11:47.867Z - info:   [33620] AzureReposVSCode/1.161.0 (VSCode 1.43.0; Windows_NT 10.0.18362; Node 12.8.1)
2020-03-17T09:11:47.918Z - warn:   [33620] TFVC Couldn't find where the TF command lives on disk.
2020-03-17T09:11:47.919Z - error:  [33620] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-03-17T09:11:56.029Z - info:   [33620] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-17T09:11:56.029Z - info:   [33620] AzureReposVSCode/1.161.0 (VSCode 1.43.0; Windows_NT 10.0.18362; Node 12.8.1)
2020-03-17T09:11:56.042Z - warn:   [33620] TFVC Couldn't find where the TF command lives on disk.
2020-03-17T09:11:56.042Z - error:  [33620] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-03-18T22:19:06.386Z - info:   [33620] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-18T22:19:06.393Z - info:   [33620] AzureReposVSCode/1.161.0 (VSCode 1.43.0; Windows_NT 10.0.18362; Node 12.8.1)
2020-03-18T22:19:06.730Z - warn:   [33620] TFVC Couldn't find where the TF command lives on disk.
2020-03-18T22:19:06.731Z - error:  [33620] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-03-25T06:27:39.557Z - info:   [12852] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-25T06:27:39.558Z - info:   [12852] AzureReposVSCode/1.161.0 (VSCode 1.43.1; Windows_NT 10.0.18362; Node 12.8.1)
2020-03-25T06:27:39.598Z - warn:   [12852] TFVC Couldn't find where the TF command lives on disk.
2020-03-25T06:27:39.598Z - error:  [12852] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-03-26T16:33:10.541Z - info:   [28688] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-03-26T16:33:10.542Z - info:   [28688] AzureReposVSCode/1.161.0 (VSCode 1.43.1; Windows_NT 10.0.18362; Node 12.8.1)
2020-03-26T16:33:10.586Z - warn:   [28688] TFVC Couldn't find where the TF command lives on disk.
2020-03-26T16:33:10.586Z - error:  [28688] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-20T02:10:47.588Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-20T02:10:47.589Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-20T02:10:47.637Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-20T02:10:47.638Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-20T03:53:00.507Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-20T03:53:00.508Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-20T03:53:00.552Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-20T03:53:00.553Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-20T03:53:01.611Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-20T03:53:01.612Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-20T03:53:01.630Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-20T03:53:01.631Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-22T04:41:31.567Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-22T04:41:31.567Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-22T04:41:31.754Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-22T04:41:31.755Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-22T04:41:31.888Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-22T04:41:31.888Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-22T04:41:32.039Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-22T04:41:32.040Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-22T04:41:32.170Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-22T04:41:32.170Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-22T04:41:32.314Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-22T04:41:32.314Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-22T04:41:32.442Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-22T04:41:32.443Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-22T04:41:32.591Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-22T04:41:32.591Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-22T04:47:31.421Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-22T04:47:31.422Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-22T04:47:31.583Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-22T04:47:31.583Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-22T05:18:41.638Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-22T05:18:41.639Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-22T05:18:41.661Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-22T05:18:41.662Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-24T03:32:49.248Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-24T03:32:49.249Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-24T03:32:49.630Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-24T03:32:49.631Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-25T19:13:08.042Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-25T19:13:08.042Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-25T19:13:08.147Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-25T19:13:08.148Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-25T19:13:13.664Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-25T19:13:13.665Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-25T19:13:13.684Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-25T19:13:13.684Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-25T22:23:52.770Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-25T22:23:52.770Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-25T22:23:53.126Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-25T22:23:53.126Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-25T22:23:55.436Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-25T22:23:55.436Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-25T22:23:55.446Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-25T22:23:55.446Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-30T05:37:40.223Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-30T05:37:40.237Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-30T05:37:40.970Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-30T05:37:40.971Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-04-30T10:54:23.886Z - info:   [16568] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-04-30T10:54:23.886Z - info:   [16568] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-04-30T10:54:24.176Z - warn:   [16568] TFVC Couldn't find where the TF command lives on disk.
2020-04-30T10:54:24.176Z - error:  [16568] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-05-02T05:18:12.866Z - info:   [13320] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-05-02T05:18:12.867Z - info:   [13320] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-05-02T05:18:12.892Z - warn:   [13320] TFVC Couldn't find where the TF command lives on disk.
2020-05-02T05:18:12.892Z - error:  [13320] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-05-03T08:57:24.915Z - info:   [21652] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-05-03T08:57:24.917Z - info:   [21652] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-05-03T08:57:24.975Z - warn:   [21652] TFVC Couldn't find where the TF command lives on disk.
2020-05-03T08:57:24.976Z - error:  [21652] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
2020-05-06T03:07:52.288Z - info:   [22308] *** FOLDER: c:\Users\roger\Documents\Personal\dev\AllFours\All_Fours ***
2020-05-06T03:07:52.290Z - info:   [22308] AzureReposVSCode/1.161.0 (VSCode 1.44.2; Windows_NT 10.0.18362; Node 12.8.1)
2020-05-06T03:07:52.354Z - warn:   [22308] TFVC Couldn't find where the TF command lives on disk.
2020-05-06T03:07:52.355Z - error:  [22308] The path to the TFVC command line (including filename) was not found in the user settings. Please set this value (tfvc.location) and try again.
